01, 3,AR0050100,EH-UFP95UWEM,20100524,20021201,HARRISON                      ,50, 7, 3,    13285,  5,  9, 0, 0,100,133, -8, 1, 1,-8,13,990, -9,19.0,-8.0,-8.0, 1,-8,-8, 1,-8,-8, 0,-8,-8, 1,-8,-8,-6,-8, 1,-8,-8,-7,-8,-8,-7,-8,-8,-6,-8,-8,18,18,-8, 1, 1,-8, 1, 1,-8,      -8,      -8,-8,-8, -8, -8
01, 3,AR0080000, A-MQ-F1F29H,20100702,20030301,CARROLL                       ,83, 7, 3,    17321,  8, 15, 0,14,100, -8, -8, 1,-8,-8,20,900, -8,12.0,11.0,-8.0, 0, 0,-8, 1, 1,-8, 0, 0,-8, 1, 1,-8,-6,-6, 1, 1,-8,-7,-7,-8,-6,-6,-8,-6,-6,-8,26,-8,-8, 1,-8,-8, 1,-8,-8,      -8,      -8,-8,-8, -8, -8
01, 3,AR0160100, A-MJ451MD I,20100611,20030801,JONESBORO                     ,30, 7, 3,    67382, 16, 31, 0,22,100,120, -8, 1, 1,-8,13,990,120,18.0,-8.0,-8.0, 1,-8,-8, 2,-8,-8, 0,-8,-8, 1,-8,-8,-6,-8, 1,-8,-8,25,-8,-8,25,-8,-8,-6,-8,-8,-7,-7,-8, 1, 1,-8, 2, 2,-8,      -8,      -8,-8,-8, -8, -8
01, 3,AR0160100,9N-4 OP8429G,20100619,20030801,JONESBORO                     ,30, 7, 3,    67382, 16, 31, 0,22,100,120, -8, 1, 1,-8,20,990,990,18.0,-8.0,-8.0, 0,-8,-8, 1,-8,-8, 0,-8,-8, 1,-8,-8,-6,-8, 1,-8,-8,-7,-8,-8,-7,-8,-8,-7,-8,-8,21,41,20, 0, 0, 0, 1, 1, 1,20100619,20100619, 1, 1,100,100
01, 3,AR0180000,5F19-19G9QUS,20100513,20030201,CRITTENDEN                    ,94, 7, 3,    10564, 18, 35, 0,22,100, -8, -8, 1,-8,-8,25,990, -8,17.0,-8.0,-8.0, 0,-8,-8, 2,-8,-8, 0,-8,-8, 1,-8,-8,-6,-8, 1,-8,-8,-7,-8,-8,-6,-8,-8,-6,-8,-8,21,-8,-8, 0,-8,-8, 2,-8,-8,      -8,      -8,-8,-8, -8, -8
01, 3,AR0180000,5F19-2HO9P2S,20100911,20030201,CRITTENDEN                    ,94, 7, 3,    10564, 18, 35, 0, 6,100, -8, -8, 1,-8,-8,25,990, -8,13.0,-8.0,-8.0, 1,-8,-8, 1,-8,-8, 0,-8,-8, 1,-8,-8,-6,-8, 1,-8,-8, 5,-8,-8,-6,-8,-8,-6,-8,-8,-7,-8,-8, 0,-8,-8, 1,-8,-8,      -8,      -8,-8,-8, -8, -8
01, 3,AR0180100,1W-HKUF0HG1A,20101014,20040101,WEST MEMPHIS                  ,40, 7, 3,    27196, 18, 35, 0, 7,100, -8, -8, 0,-8,-8,13,990, -8,16.0,-8.0,-8.0, 0,-8,-8, 2,-8,-8, 0,-8,-8, 1,-8,-8,-6,-8, 1,-8,-8,-7,-8,-8,-6,-8,-8,-6,-8,-8,-7,-8,-8, 1,-8,-8, 2,-8,-8,      -8,      -8,-8,-8, -8, -8
01, 3,AR0180100,38-J4IL2J739,20100111,20040101,WEST MEMPHIS                  ,40, 7, 3,    27196, 18, 35, 0, 8,100,132, -8, 1, 1,-8,25,990,990,15.0,-8.0,-8.0, 0,-8,-8, 2,-8,-8, 0,-8,-8, 1,-8,-8,-6,-8, 2,-8,-8,18,-8,-8,-6,-8,-8,-6,-8,-8,16,-8,-8, 1,-8,-8, 2,-8,-8,20100111,      -8, 1,-8,100, -8
01, 3,AR0180100,38-J8542J739,20100426,20040101,WEST MEMPHIS                  ,40, 7, 3,    27196, 18, 35, 0, 9,100,133, -8, 0, 1,-8,13,990, -9,14.0,-8.0,-8.0, 0,-8,-8, 2,-8,-8, 0,-8,-8, 1,-8,-8,-6,-8, 1,-8,-8,-7,-8,-8,-6,-8,-8,-6,-8,-8,-7,-8,-8, 1,-8,-8, 2,-8,-8,      -8,      -8,-8,-8, -8, -8
01, 3,AR0180100,EH-U7ZJ5UWEM,20100111,20040101,WEST MEMPHIS                  ,40, 7, 3,    27196, 18, 35, 0, 8,100,132, -8, 1, 1,-8,25,990,990,15.0,-8.0,-8.0, 0,-8,-8, 2,-8,-8, 0,-8,-8, 1,-8,-8,-6,-8, 2,-8,-8,14,-8,-8,14,-8,-8,-6,-8,-8,15,16,-8, 0, 0,-8, 2, 2,-8,20100111,20100111, 1, 1,100,100
