incident.number,incident.date,public,city,state,division.name,rural.city,rec.location,motive,victim.age,victim.race,victim.sex,RSO,offender.age,offender.race,offender.sex,Victim.in.relation,multiple.victims,multiple.offenders,type,target.harm,exclude,primary.incident,relationship.group,same.race
14-50,2014-09-01,Yes,New Haven,CT,Northeast,City,>10 miles,Unknown,14,Hispanic,Female,,53,White,Male,Stranger,1,1,SingleVO,No,0,Yes,Stranger,0
14-51,2014-07-01,Yes,New Orleans,LA,Central,Rural,>10 miles,Unknown,12,Black,Female,No,43,Black,Male,Stepchild,1,1,SingleVO,Yes,0,Yes,Parent,1
14-52,2013-11-01,No,Oklahoma City,OK,Central,City,>10 miles,Unknown,13,Hispanic,Female,No,58,Hispanic,Female,Grandchild,1,1,SingleVO,No,0,Yes,Family,1
14-53,2014-05-01,Yes,Oklahoma City,OK,Central,City,1-10 miles,Sexual,8,White,Female,Yes,33,White,Male,Stranger,1,1,SingleVO,Yes,0,Yes,Stranger,1
14-54,2013-12-01,Yes,Portland,OR,West,City,,Sexual,13,White,Female,No,40,White,Male,Friend,1,1,SingleVO,Yes,0,Yes,Known,1
14-55,2014-05-01,Yes,Phoenix,AZ,West,,,Intent to Keep,2,Native American,Male,No,19,Native American,Female,Other Family Member,1,1,SingleVO,No,0,Yes,Family,1
14-56,2014-06-01,Yes,Phoenix,AZ,West,Suburban,<1 mile,Sexual,8,White,Female,,26,White,Male,Acquaintance,1,1,SingleVO,Yes,0,Yes,Known,1
14-57,2014-02-01,Yes,Richmond,VA,Southeast,City,,Unknown,5,Black,Female,No,21,Black,Female,Other Family Member,1,1,SingleVO,No,0,Yes,Family,1
14-58,2014-08-01,Yes,Richmond,VA,Southeast,City,,Custodial,,White,Male,No,40,White,Female,Child,1,1,SingleVO,No,0,Yes,Parent,1
14-59,2014-09-01,No,San Antonio,TX,Central,City,,Custodial,5,Hispanic,Female,,,,,Child,1,1,SingleVO,No,0,Yes,Parent,
14-61,2013-12-01,Yes,Sacramento,CA,West,,,Custodial,5,White,Male,No,36,White,Female,Child,2,1,MultVic,No,0,Yes,Parent,1
14-61,2013-12-01,Yes,Sacramento,CA,West,,,Custodial,7,White,Male,No,36,White,Female,Child,2,1,MultVic,No,0,No,Parent,1
14-62,2014-04-01,No,Sacramento,CA,West,,,Unknown,3,Hispanic,Female,,0,Hispanic,,Stranger,1,1,SingleVO,No,0,Yes,Stranger,1
14-63,2014-06-01,Yes,Sacramento,CA,West,Suburban,,,3,White,Male,,37,White,Female,Stepchild,1,1,SingleVO,No,0,Yes,Parent,1
14-64,2014-08-01,Yes,Sacramento,CA,West,,,Custodial,10,Hispanic,Female,,36,Hispanic,Female,Child,1,1,SingleVO,No,0,Yes,Parent,1
14-67,2013-11-01,No,San Diego,CA,West,City,,Custodial,2,Unknown,Male,,45,,Male,Child,1,1,SingleVO,No,0,Yes,Parent,
14-68,2014-01-01,Yes,Seattle,WA,West,City,1-10 miles,Custodial,5,White,Male,,31,White,Male,Child,1,2,MultOff,Yes,0,Yes,Parent,1
14-68,2014-01-01,Yes,Seattle,WA,West,City,1-10 miles,Custodial,5,White,Male,,36,White,Female,Child,1,2,MultOff,Yes,0,No,Parent,1
14-69,2014-02-01,Yes,Seattle,WA,West,,,Custodial,0.2,White,Male,No,31,White,Female,Child,1,1,SingleVO,No,0,Yes,Parent,1
14-70,2014-02-01,Yes,Seattle,WA,West,,,Custodial,2,Black,Male,No,25,Black,Female,Child,2,1,MultVic,No,0,Yes,Parent,1
14-70,2014-02-01,Yes,Seattle,WA,West,,,Custodial,1,Black,Female,No,25,Black,Female,Child,2,1,MultVic,No,0,No,Parent,1
14-71,2014-08-01,Yes,Seattle,WA,West,,,,6,,Female,,,,,,1,1,SingleVO,No,0,Yes,,
14-72,2014-01-01,Yes,San Fransisco,CA,West,,,Sexual,7,Asian,Female,,40,White,Male,Stranger,1,1,SingleVO,Yes,0,Yes,Stranger,0
14-76,2014-03-01,No,Tampa,FL,Southeast,,,Sexual,14,White,Female,Yes,25,White,Male,Stranger,1,1,SingleVO,Yes,0,Yes,Stranger,1
14-77,2014-05-01,Yes,Tampa,FL,Southeast,City,,Sexual,9,Black,Female,No,35,Black,Male,Acquaintance,1,1,SingleVO,Yes,0,Yes,Known,1
14-79,2014-08-01,Yes,Tampa,FL,Southeast,,,Custodial,4,Unknown,Male,No,28,,Male,Child,1,1,SingleVO,Yes,0,Yes,Parent,
14-80,2014-03-01,Yes,Washington Field,,Southeast,City,,Unknown,8,Black,Female,No,51,Black,Male,Acquaintance,1,1,SingleVO,No,0,Yes,Known,1
14-1,2014-08-01,Yes,Alabama,AL,Southeast,Rural,,Sexual,6,White,Female,,25,White,Female,,2,2,MultOV,Yes,0,Yes,,1
14-1,2014-08-01,Yes,Alabama,AL,Southeast,Rural,,Sexual,12,White,Female,,25,White,Female,,2,2,MultOV,Yes,0,No,,1
14-36,2014-02-01,Yes,Los Angeles,CA,West,,,Custodial,1,White,Female,No,31,White,Male,Child,2,2,MultOV,No,0,Yes,Parent,1
14-36,2014-02-01,Yes,Los Angeles,CA,West,,,Custodial,3,White,Male,No,31,White,Male,Child,2,2,MultOV,No,0,No,Parent,1
