"05055",0,0,0,0,0,0,0,0,0,0,4,1
"05059",2,4,0,20,63,24,30,229,13,58,429,11
"05061",0,0,0,0,0,0,0,0,0,0,1,0
"05063",0,0,0,0,1,0,1,3,0,2,8,0
"05065",0,0,0,0,0,0,1,2,0,0,6,0
"05067",0,0,0,0,2,0,1,0,0,0,2,1
"05069",0,0,0,2,30,13,5,115,1,22,137,4
"05071",0,0,0,0,0,0,0,2,0,0,3,2
"05073",0,0,0,0,0,0,0,0,0,1,0,0
"05075",2,0,0,0,8,5,11,11,0,2,32,1
"05077",0,0,0,5,69,7,4,76,1,11,68,4
"05081",0,0,0,0,0,0,0,23,0,2,2,1
"05083",0,1,0,0,3,0,2,6,0,2,7,0
"05085",2,0,0,1,7,0,6,25,0,3,15,0
"05087",0,0,0,0,1,3,16,13,0,1,9,1
"05089",0,0,0,1,3,3,0,8,0,3,10,0
"05093",0,0,0,0,0,1,0,0,0,0,1,0
"05095",0,0,0,0,1,1,0,1,0,0,4,0
"05097",0,0,0,1,0,1,1,2,0,2,4,1
"05099",0,0,0,0,1,0,0,4,0,1,1,0
"05101",0,0,0,1,4,43,3,23,2,15,147,1
"05103",0,0,0,0,3,0,0,1,0,0,4,0
"05105",0,0,0,0,3,1,0,2,0,1,2,0
"05107",0,0,0,1,5,2,0,2,0,1,6,0
"05109",0,0,0,0,0,0,1,0,0,0,3,0
"05113",0,0,0,0,0,0,0,0,0,0,1,0
"05117",0,0,0,0,4,2,0,1,0,1,7,1
"05119",0,0,0,0,0,1,1,3,0,4,10,0
"05121",0,0,0,1,1,0,1,6,0,0,8,0
"05123",0,3,0,8,27,21,21,134,6,51,167,4
"05125",0,0,0,0,2,0,1,0,0,1,5,0
"06001",2,0,0,7,36,3,6,78,26,44,173,38
"06003",0,0,0,15,45,9,4,79,11,18,234,57
"06005",0,0,0,0,6,4,2,55,4,10,53,7
"06007",0,0,0,1,6,2,3,4,0,6,45,2
"06009",1,0,0,8,34,20,1,133,11,111,232,71
"06011",0,0,0,7,6,6,1,36,1,27,87,16
"06013",0,0,0,1,3,0,0,13,1,5,22,5
"06015",0,0,0,1,5,0,5,14,1,5,34,7
"06900",2,1,0,8,22,9,9,63,0,13,144,29
"07001",1,0,0,19,64,27,7,101,6,65,239,36
"07003",1,0,0,33,90,27,5,169,26,217,649,105
"07005",1,0,0,27,82,24,7,112,3,55,264,51
"07900",0,0,0,0,0,1,0,0,0,0,0,0
"08 NA",0,0,0,3,0,0,0,1,139,15,70,4
"11 NA",0,0,0,1,0,0,0,9,0,2,0,0
"11001",5,0,0,4,42,25,25,166,2,77,373,19
"11003",0,0,0,0,0,0,0,0,0,0,1,0
"11005",2,0,0,0,6,2,2,20,0,7,130,3
"11007",0,0,0,1,0,2,0,8,0,1,18,2
"11009",0,0,0,1,0,0,0,4,0,1,5,0
"11011",0,0,0,4,6,0,0,63,0,2,133,3
"11013",0,0,0,0,3,0,0,5,0,5,4,1
"11015",0,0,0,0,0,0,0,1,0,0,1,1
"11017",0,0,0,0,1,0,0,47,0,2,23,1
