FIPS,relover65,nonrelatives,college,samehouse,employed,income,rent
19197,0.2,14,20.3,68.3,68.1,49638,718
20001,0.4,,,,,,
20003,0.4,6,21.5,85,62.7,39778,609
20007,0.4,4.1,23.6,84.4,73.1,62066,732
20009,0.3,5.7,24.5,83.7,62.2,40146,522
20011,0.5,6.5,23.5,83.4,68.5,44098,627
20013,0.2,,,,,,
20015,0.5,,,,,,
20021,0.6,,,,,,
20029,0.4,,,,,,
20031,0.4,4.7,26.1,85.4,66.7,45781,573
20035,0.7,,,,,,
20037,0.4,,,,,,
20041,0.5,4.1,29.1,83.6,66.2,55189,711
20045,0.5,3.3,28.8,88.1,61,40533,553
20049,0.4,,,,,,
20051,0.5,,,,,,
20053,0.5,6.8,30.1,77.3,60.8,39756,586
20055,0.5,9.1,23,80,62.1,36125,658
20057,0.4,,,,,,
20059,0.3,13.6,19.5,70.6,70.8,48528,850
20061,0.3,,,,,,
20067,0.3,9.2,24.1,75,75.5,42651,580
20069,0.3,,,,,,
20079,0.8,6.1,19.3,83.7,73.9,47215,657
20085,0.7,5,21.3,86.3,69.9,50021,595
20087,0.5,5.2,24.4,83.7,68,49528,714
20091,0.4,4.9,32.6,75.2,72.4,46000,917
20095,0.6,,,,,,
20097,0.4,,,,,,
20099,0.4,4.8,23.6,84.8,64.4,46899,660
20103,0.6,,,,,,
20105,0.6,,,,,,
20107,0.6,4.5,21.3,85.7,73.4,73021,897
20109,0.5,,,,,,
20111,0.5,,,,,,
20113,0.5,,,,,,
20115,0.5,5.9,24.2,86.9,63.4,39805,558
20119,0.6,3.9,22.1,78.9,61.6,61709,881
20121,0.4,,,,,,
20123,0.6,,,,,,
20125,0.5,,,,,,
20127,0.5,8,23.7,76.1,69.4,40225,562
20129,0.4,4.5,27.1,84.7,67.2,53851,606
20133,0.4,,,,,,
20139,0.3,,,,,,
20143,0.6,4.8,27.9,88.6,67.2,60018,757
20149,0.3,,,,,,
20151,0.5,5.2,26.8,82.6,61.3,39322,565
20153,0.5,,,,,,
20155,0.4,,,,,,
20159,0.3,,,,,,
20161,0.4,,,,,,
20167,0.3,,,,,,
20169,0.3,,,,,,
20171,0.5,3.7,24.9,91.5,70.5,55244,717
20173,0.4,,,,,,
20175,0.4,,,,,,
20177,0.4,4.1,31.4,79.5,62.1,42496,618
20191,0.2,,,,,,
20203,0.3,16,24.5,75.1,68.2,44414,841
20205,0.4,,,,,,
20209,0.4,5.6,25.6,83.1,69.8,45164,651
21007,0.3,,,,,,
21013,0.6,4.9,26,83.1,68.8,48511,701
